ground_truth,storage,virtual_machines,automation,logic_apps,log_analytics,bandwidth,load_balancer,service_bus,Others,yesterday_total_cost
122.65130470903486,19.940014,26.220074,0.0072134407,4.969745,0.23021996,0.03758446,4.15499,0.006282041,69.12591,122.56082471495907
123.58303927277306,19.726234,22.95618,0.0076298537,4.2570214,0.22994414,0.037582096,4.1486874,0.0063160164,65.881294,122.65130470903486
128.90231568587123,19.80229,25.239733,0.00859081,4.367472,0.2299751,0.037580576,4.1475263,0.006353517,66.51336,123.58303927277306
134.6061959953269,19.839207,22.130636,0.010138253,4.528085,0.23001,0.037581164,4.1333246,0.0063905874,68.31078,128.90231568587123
133.0229600645037,19.650574,22.306334,0.006695793,4.724349,0.23005708,0.037581928,4.1057224,0.006202395,71.464195,134.6061959953269
135.74163515973203,19.64957,22.097643,0.0069088894,4.7924476,0.23011394,0.037582826,4.070982,0.0062346878,72.08814,133.0229600645037
133.05543778467342,20.43282,22.357,0.007213658,4.8422475,0.23017499,0.037583698,4.2556496,0.0062722294,69.08279,135.74163515973203
133.0853226784715,21.100845,23.385824,0.0076303123,4.9599066,0.23024121,0.03758447,4.238899,0.0063125296,66.551056,133.05543778467342
132.31196417909186,20.753128,24.414194,0.010135686,4.2506123,0.22995844,0.037582017,4.220735,0.0063526267,63.485207,133.0853226784715
118.79309863924017,20.87013,26.656273,0.0065557524,3.6272862,0.22998878,0.037580565,4.202197,0.006390605,63.75671,132.31196417909186
105.24230954817095,20.836365,29.344248,0.0066958205,2.2011597,0.23001362,0.037581116,4.1567883,0.0062033273,62.159687,118.79309863924017
110.30638073381027,20.42091,30.662554,0.006908656,1.7312499,0.2300471,0.03758133,4.094473,0.00623512,57.664097,105.24230954817095
108.55795909544811,20.712177,30.794691,0.007631462,1.8030975,0.23009908,0.037582055,4.0434384,0.0062727127,55.592113,110.30638073381027
107.92584997114758,22.226543,30.23349,0.008594432,1.8659037,0.23015071,0.037583508,4.3382697,0.006353506,57.101734,108.55795909544811
103.07321493509318,23.756985,26.050444,0.010142492,1.9323763,0.23020259,0.03758453,4.308323,0.006427706,57.388035,107.92584997114758
110.2905433516482,23.658283,23.131144,0.006556325,1.5959313,0.2299258,0.037582085,4.268897,0.006203764,54.40687,103.07321493509318
102.68632646840496,23.677212,22.759802,0.0066959793,1.6412868,0.22995451,0.037580542,4.208665,0.006235604,54.181683,110.2905433516482
81.47500632160376,23.149277,20.841574,0.0070649483,1.7027022,0.2300061,0.037581194,4.151434,0.0062865512,57.00086,102.68632646840496
78.84008931943245,20.53328,20.835703,0.0074643726,1.7571137,0.2300475,0.03758184,4.1125746,0.006327101,55.063423,81.47500632160376
93.28323703281092,17.784052,20.308039,0.008108029,1.8161589,0.23009537,0.037582956,4.0709257,0.0063650496,51.266815,78.84008931943245
88.01965957780817,18.010872,15.508366,0.009289775,1.8793631,0.2302165,0.03758381,4.255425,0.006400372,53.096954,93.28323703281092
88.32723270125199,18.04131,13.292786,0.011123685,1.94705,0.2302821,0.037584703,4.2386856,0.0064352965,57.773083,88.01965957780817
91.84252292948898,17.416601,14.222879,0.006667654,1.6074008,0.2299353,0.037582446,4.1589704,0.006215999,57.313976,88.32723270125199
89.70588412172829,17.59311,12.483593,0.0068205222,1.6532414,0.22996424,0.037580922,4.076697,0.006247093,58.79122,91.84252292948898
88.42616571241078,17.628794,12.39241,0.007064551,1.7026283,0.23000556,0.03758151,3.9804847,0.0062838886,59.830685,89.70588412172829
